Period,Time,Shooter,Shot.Type,Location,PP,PK,Result,Result,X,Y
1,17:04,Pearson,snap shot,Centre-Mid,0,0,Chest,Save,3,2
1,03:14,Edler,wrist shot,Defensive,0,1,Fivehole,Save,5,2
2,08:25,Edler,wrist shot,Defensive,0,1,Fivehole,Save,5,2
1,19:21,Boyd,wrist shot,L Faceoff,0,0,R Post,Post,3,3
2,05:51,Miller,wrist shot,L Faceoff,0,1,Mid Blocker,Save,3,3
3,12:01,MacEwen,wrist shot,L Faceoff,0,0,High Blocker,Save,3,3
3,11:01,Boeser,wrist shot,L Faceoff,1,0,Crossbar,Post,3,3
3,10:47,Horvat,slap shot,L Faceoff,1,0,Low Blocker,Save,3,3
3,08:16,Highmore,wrist shot,L Faceoff,0,0,Fivehole,Save,3,3
3,06:15,Pearson,wrist shot,L Faceoff,0,0,Mid Blocker,Goal,3,3
1,15:42,Highmore,wrist shot,L Point,0,0,Fivehole,Save,4,3
2,14:20,Edler,wrist shot,L Point,0,0,Mid Glove,Save,4,3
2,01:10,Edler,wrist shot,L Point,0,0,High Glove,Save,4,3
3,14:52,Juolevi,slap shot,L Point,0,0,High Glove,Save,4,3
2,16:52,Boeser,wrist shot,Left Crease,0,0,Chest,Save,2,3
3,15:44,Virtanen,wraparound,Left Crease,1,0,Low Blocker,Save,1,3
2,16:14,Hawryluk,snap shot,Left Faceoff,0,0,Chest,Save,3,3
2,15:14,Boeser,wrist shot,Left Faceoff,1,0,High Blocker,Goal,3,3
3,17:23,Miller,wrist shot,R Faceoff,1,0,Low Glove,Save,3,1
3,16:56,Miller,slap shot,R Faceoff,1,0,Mid Glove,Save,3,1
3,14:41,Pearson,wrist shot,R Faceoff,0,0,Fivehole,Save,3,1
3,14:26,Boeser,wrist shot,R Faceoff,0,0,Fivehole,Save,3,1
1,15:37,Hamonic,wrist shot,R Point,0,0,Low Glove,Save,4,1
1,10:41,Hamonic,slap shot,R Point,0,0,Mid Glove,Save,4,1
1,10:39,Myers,slap shot,R Point,0,0,Chest,Save,4,1
2,17:45,Myers,wrist shot,R Point,0,0,Chest,Save,4,1
3,00:15,Boeser,wrist shot,R Point,0,0,Fivehole,Save,4,1
2,17:06,Sutter,wrist shot,Right Crease,0,0,Low Glove,Save,2,1
2,17:00,Pearson,wrist shot,Right Faceoff,0,0,Mid Glove,Save,3,1
2,10:17,Myers,wrist shot,Right Faceoff,0,0,Mid Blocker,Save,3,1
1,18:17,Schmidt,slap shot,Right Point,0,0,High Glove,Goal,4,1
2,15:34,Hamonic,slap shot,Right Point,0,0,Low Glove,Save,4,1
2,00:48,Horvat,wrist shot,Slot,0,0,High Blocker,Save,3,2
3,00:54,Miller,wrist shot,Slot,0,0,Empty Net,Goal,3,2
2,17:06,Sutter,wrist shot,Top Crease,0,0,Low Glove,Save,2,2
2,15:24,Horvat,deflection,Top Crease,1,0,Chest,Save,2,2
3,17:11,Pearson,wrist shot,Top Crease,1,0,Low Glove,Save,2,2