game_ID,win,home,timeouts_used,timeouts_available,fouls_committed,fouls_against,points_scored,points_allowed
21800002,1,1,0,4,10,5,25,21
21800002,0,0,3,4,5,10,21,25
21800003,0,1,2,3,4,8,29,20
21800003,1,0,3,4,8,4,20,29
21800004,1,1,3,4,5,3,20,24
21800004,0,0,2,3,3,5,24,20
21800010,1,1,1,4,6,8,31,25
21800010,0,0,4,4,8,6,25,31
21800011,0,1,2,3,7,5,30,30
21800011,1,0,1,4,5,7,30,30
21800012,0,1,3,3,12,5,26,33
21800012,1,0,1,4,5,12,33,26
21800015,1,1,4,4,6,5,23,28
21800015,0,0,4,4,5,6,28,23
21800018,1,1,3,4,7,8,33,29
21800018,0,0,3,3,8,7,29,33
21800021,1,1,2,4,4,7,27,28
21800021,0,0,3,3,7,4,28,27
21800024,0,1,2,3,5,4,20,27
21800024,1,0,4,4,4,5,27,20
21800027,0,1,2,3,10,9,31,27
21800027,1,0,3,4,9,10,27,31
21800028,0,1,3,3,8,7,31,26
21800028,1,0,3,4,7,8,26,31
21800029,1,1,1,3,7,8,27,29
21800029,0,0,3,4,8,7,29,27
21800030,0,1,2,3,8,12,30,21
21800030,1,0,3,3,12,8,21,30
21800031,0,1,2,4,2,8,32,33
21800031,1,0,2,4,8,2,33,32
21800032,1,1,3,4,4,11,43,37
21800032,0,0,4,4,11,4,37,43
21800035,0,1,2,3,8,7,18,26
21800035,1,0,2,4,7,8,26,18
21800038,1,1,3,3,6,8,20,28
21800038,0,0,3,4,8,6,28,20
21800039,1,1,3,4,4,1,22,28
21800039,0,0,3,4,1,4,28,22
21800040,0,1,3,4,6,6,20,18
21800040,1,0,2,4,6,6,18,20
21800050,1,1,1,4,7,4,25,25
21800050,0,0,3,4,4,7,25,25
21800052,1,1,3,3,5,11,31,17
21800052,0,0,2,2,11,5,17,31
21800056,1,1,2,4,6,7,24,28
21800056,0,0,4,4,7,6,28,24
21800061,1,1,2,4,3,9,26,21
21800061,0,0,3,3,9,3,21,26
21800065,0,1,2,2,13,6,22,27
21800065,1,0,3,4,6,13,27,22
21800066,1,1,2,3,3,7,34,25
21800066,0,0,4,4,7,3,25,34
21800072,1,1,4,4,5,10,29,24
21800072,0,0,4,4,10,5,24,29
21800073,1,1,3,4,4,8,37,27
21800073,0,0,4,4,8,4,27,37
21800078,1,1,3,4,6,6,22,18
21800078,0,0,3,3,6,6,18,22
21800082,1,1,2,4,6,6,23,18
21800082,0,0,4,4,6,6,18,23
21800083,0,1,2,2,6,4,37,27
21800083,1,0,2,4,4,6,27,37
21800087,0,1,3,4,7,6,24,32
21800087,1,0,1,4,6,7,32,24
21800093,1,1,1,2,3,6,31,26
21800093,0,0,4,4,6,3,26,31
21800095,1,1,2,3,4,8,32,35
21800095,0,0,4,4,8,4,35,32
21800099,1,1,3,4,2,10,27,34
21800099,0,0,3,3,10,2,34,27
21800105,0,1,3,3,5,2,20,30
21800105,1,0,4,4,2,5,30,20
21800107,1,1,3,3,13,7,27,29
21800107,0,0,4,4,7,13,29,27
21800111,0,1,2,2,9,4,30,38
21800111,1,0,1,3,4,9,38,30
21800115,1,1,3,4,8,5,24,35
21800115,0,0,3,3,5,8,35,24
21800118,0,1,3,4,13,5,25,28
21800118,1,0,1,3,5,13,28,25
21800120,0,1,3,3,5,1,25,20
21800120,1,0,2,4,1,5,20,25
21800122,0,1,1,4,7,8,22,27
21800122,1,0,2,3,8,7,27,22
21800127,1,1,3,4,6,4,30,29
21800127,0,0,4,4,4,6,29,30
21800128,1,1,2,3,3,6,21,25
21800128,0,0,3,4,6,3,25,21
21800129,0,1,2,3,6,10,25,21
21800129,1,0,1,4,10,6,21,25
21800132,0,1,3,4,5,10,37,26
21800132,1,0,2,3,10,5,26,37
21800136,1,1,2,3,4,6,25,19
21800136,0,0,3,4,6,4,19,25
21800137,0,1,1,4,6,8,36,26
21800137,1,0,2,4,8,6,26,36
21800141,0,1,3,3,7,6,19,29
21800141,1,0,2,4,6,7,29,19
21800142,1,1,3,4,4,6,32,21
21800142,0,0,3,4,6,4,21,32
21800144,1,1,1,2,9,7,22,30
21800144,0,0,4,4,7,9,30,22
21800145,1,1,2,3,3,7,27,26
21800145,0,0,2,4,7,3,26,27
21800153,0,1,2,4,8,4,22,24
21800153,1,0,1,3,4,8,24,22
21800154,0,1,2,4,4,5,16,25
21800154,1,0,1,3,5,4,25,16
21800155,0,1,2,3,10,9,34,25
21800155,1,0,3,4,9,10,25,34
21800156,1,1,1,3,4,5,20,24
21800156,0,0,1,4,5,4,24,20
21800158,1,1,3,3,3,6,19,17
21800158,0,0,3,4,6,3,17,19
21800162,1,1,3,4,3,8,28,22
21800162,0,0,3,4,8,3,22,28
21800167,1,1,1,4,5,6,28,34
21800167,0,0,2,4,6,5,34,28
21800170,0,1,4,4,4,4,22,26
21800170,1,0,4,4,4,4,26,22
21800171,0,1,4,4,9,12,34,30
21800171,1,0,3,4,12,9,30,34
21800172,1,1,1,4,7,7,30,35
21800172,0,0,3,4,7,7,35,30
21800178,1,1,0,3,6,5,20,21
21800178,0,0,3,4,5,6,21,20
21800180,1,1,2,3,1,10,24,18
21800180,0,0,2,4,10,1,18,24
21800187,0,1,3,4,6,4,26,22
21800187,1,0,3,4,4,6,22,26
21800188,1,1,1,4,6,2,17,24
21800188,0,0,3,4,2,6,24,17
21800189,1,1,2,4,5,7,23,31
21800189,0,0,3,3,7,5,31,23
21800190,1,1,2,3,4,11,34,26
21800190,0,0,3,4,11,4,26,34
21800193,0,1,2,2,10,7,23,25
21800193,1,0,2,4,7,10,25,23
21800197,1,1,1,4,6,3,27,23
21800197,0,0,2,3,3,6,23,27
21800201,1,1,2,4,7,6,28,27
21800201,0,0,1,2,6,7,27,28
21800202,1,1,3,4,6,10,35,19
21800202,0,0,4,4,10,6,19,35
21800206,0,1,3,4,4,8,16,29
21800206,1,0,3,3,8,4,29,16
21800207,0,1,3,3,7,8,33,32
21800207,1,0,4,4,8,7,32,33
21800208,1,1,2,4,6,9,22,19
21800208,0,0,3,4,9,6,19,22
21800215,1,1,4,4,7,9,25,27
21800215,0,0,3,3,9,7,27,25
21800217,1,1,3,4,6,4,27,24
21800217,0,0,3,3,4,6,24,27
21800218,1,1,3,4,2,8,27,23
21800218,0,0,3,4,8,2,23,27
21800220,1,1,2,4,6,4,25,26
21800220,0,0,2,4,4,6,26,25
21800222,1,1,1,3,9,8,41,28
21800222,0,0,3,4,8,9,28,41
21800224,0,1,3,4,8,7,22,37
21800224,1,0,1,4,7,8,37,22
21800232,1,1,1,2,4,7,30,23
21800232,0,0,3,4,7,4,23,30
21800239,1,1,4,4,8,6,33,25
21800239,0,0,3,4,6,8,25,33
21800242,1,1,4,4,5,8,27,28
21800242,0,0,4,4,8,5,28,27
21800243,0,1,2,4,10,3,23,38
21800243,1,0,2,4,3,10,38,23
21800244,1,1,1,3,5,6,24,14
21800244,0,0,2,3,6,5,14,24
21800245,1,1,1,4,6,5,26,21
21800245,0,0,2,2,5,6,21,26
21800247,1,1,2,4,5,5,33,28
21800247,0,0,4,4,5,5,28,33
21800248,0,1,3,4,1,4,16,20
21800248,1,0,2,4,4,1,20,16
21800249,1,1,1,3,5,10,39,23
21800249,0,0,4,4,10,5,23,39
21800251,0,1,2,4,4,9,29,29
21800251,1,0,2,4,9,4,29,29
21800253,1,1,2,4,9,5,25,33
21800253,0,0,3,3,5,9,33,25
21800256,0,1,4,4,9,4,24,28
21800256,1,0,3,4,4,9,28,24
21800257,1,1,2,3,3,7,30,23
21800257,0,0,3,4,7,3,23,30
21800258,1,1,3,4,8,8,33,41
21800258,0,0,2,3,8,8,41,33
21800260,0,1,3,3,4,6,27,18
21800260,1,0,3,4,6,4,18,27
21800261,1,1,1,2,5,13,34,32
21800261,0,0,4,4,13,5,32,34
21800262,1,1,1,4,7,8,26,23
21800262,0,0,3,4,8,7,23,26
21800263,0,1,3,4,5,12,27,35
21800263,1,0,1,4,12,5,35,27
21800265,0,1,2,3,5,7,30,23
21800265,1,0,2,4,7,5,23,30
21800269,1,1,3,4,5,11,27,19
21800269,0,0,3,4,11,5,19,27
21800273,0,1,2,2,5,6,27,25
21800273,1,0,2,4,6,5,25,27
21800274,1,1,2,3,2,7,20,24
21800274,0,0,4,4,7,2,24,20
21800275,0,1,3,4,6,7,24,25
21800275,1,0,4,4,7,6,25,24
21800278,1,1,2,3,6,5,26,20
21800278,0,0,3,4,5,6,20,26
21800284,1,1,1,4,1,10,40,27
21800284,0,0,3,3,10,1,27,40
21800285,1,1,3,4,5,5,22,23
21800285,0,0,3,4,5,5,23,22
21800286,0,1,3,3,4,8,33,22
21800286,1,0,2,4,8,4,22,33
21800288,1,1,3,3,4,4,24,26
21800288,0,0,2,4,4,4,26,24
21800289,0,1,3,3,7,5,23,38
21800289,1,0,4,4,5,7,38,23
21800291,0,1,3,3,9,6,27,25
21800291,1,0,3,3,6,9,25,27
21800293,0,1,4,4,7,3,26,21
21800293,1,0,3,4,3,7,21,26
21800294,1,1,1,3,6,8,17,27
21800294,0,0,4,4,8,6,27,17
21800295,0,1,4,4,12,6,24,27
21800295,1,0,4,4,6,12,27,24
21800297,0,1,1,4,5,4,24,28
21800297,1,0,1,4,4,5,28,24
21800300,1,1,1,3,6,6,37,27
21800300,0,0,4,4,6,6,27,37
21800302,0,1,2,3,8,5,27,15
21800302,1,0,3,4,5,8,15,27
21800303,0,1,2,2,8,2,17,29
21800303,1,0,2,4,2,8,29,17
21800305,0,1,4,4,5,4,27,28
21800305,1,0,1,4,4,5,28,27
21800308,0,1,4,4,7,7,13,31
21800308,1,0,1,4,7,7,31,13
21800310,1,1,1,3,6,9,24,24
21800310,0,0,3,4,9,6,24,24
21800314,1,1,1,4,7,9,20,28
21800314,0,0,3,4,9,7,28,20
21800324,1,1,2,4,10,7,25,26
21800324,0,0,2,3,7,10,26,25
21800329,0,1,3,3,6,6,27,22
21800329,1,0,3,4,6,6,22,27
21800335,0,1,2,3,7,8,32,34
21800335,1,0,1,4,8,7,34,32
21800336,1,1,2,4,2,7,22,19
21800336,0,0,4,4,7,2,19,22
21800339,1,1,2,3,9,5,22,23
21800339,0,0,4,4,5,9,23,22
21800340,1,1,2,4,5,11,25,27
21800340,0,0,4,4,11,5,27,25
21800341,1,1,1,4,6,8,26,30
21800341,0,0,4,4,8,6,30,26
21800345,0,1,3,4,5,4,21,19
21800345,1,0,4,4,4,5,19,21
21800347,0,1,3,4,9,5,25,20
21800347,1,0,4,4,5,9,20,25
21800349,0,1,4,4,8,7,29,28
21800349,1,0,3,3,7,8,28,29
21800350,1,1,1,4,4,7,26,23
21800350,0,0,4,4,7,4,23,26
21800358,0,1,4,4,8,5,19,39
21800358,1,0,3,3,5,8,39,19
21800364,1,1,1,3,6,9,43,31
21800364,0,0,3,3,9,6,31,43
21800369,0,1,3,4,10,6,21,28
21800369,1,0,3,4,6,10,28,21
21800373,1,1,3,3,3,8,27,21
21800373,0,0,4,4,8,3,21,27
21800374,0,1,4,4,8,7,19,22
21800374,1,0,2,4,7,8,22,19
21800378,1,1,2,4,5,5,23,20
21800378,0,0,2,3,5,5,20,23
21800385,1,1,1,4,2,6,32,25
21800385,0,0,3,3,6,2,25,32
21800387,0,1,2,4,6,5,24,25
21800387,1,0,2,4,5,6,25,24
21800388,0,1,2,4,6,4,25,25
21800388,1,0,4,4,4,6,25,25
21800391,1,1,2,4,8,5,22,26
21800391,0,0,1,2,5,8,26,22
21800398,1,1,1,3,3,7,21,16
21800398,0,0,3,3,7,3,16,21
21800401,1,1,2,4,2,6,24,22
21800401,0,0,4,4,6,2,22,24
21800402,1,1,1,3,9,7,30,26
21800402,0,0,2,4,7,9,26,30
21800405,1,1,3,3,5,7,26,14
21800405,0,0,4,4,7,5,14,26
21800406,1,1,4,4,5,7,27,20
21800406,0,0,2,3,7,5,20,27
21800411,1,1,2,3,9,8,29,30
21800411,0,0,4,4,8,9,30,29
21800418,1,1,3,4,4,7,20,20
21800418,0,0,3,3,7,4,20,20
21800425,0,1,4,4,8,7,24,29
21800425,1,0,3,4,7,8,29,24
21800427,1,1,3,4,5,5,37,33
21800427,0,0,4,4,5,5,33,37
21800428,0,1,2,3,9,6,28,27
21800428,1,0,2,3,6,9,27,28
21800429,1,1,2,4,9,8,41,30
21800429,0,0,3,3,8,9,30,41
21800432,0,1,3,4,7,5,32,26
21800432,1,0,1,4,5,7,26,32
21800433,0,1,3,3,5,4,15,24
21800433,1,0,3,4,4,5,24,15
21800441,0,1,3,3,7,10,23,17
21800441,1,0,2,3,10,7,17,23
21800442,1,1,1,3,7,5,27,14
21800442,0,0,3,3,5,7,14,27
21800443,0,1,2,2,6,4,27,26
21800443,1,0,2,4,4,6,26,27
21800445,1,1,1,3,6,4,19,24
21800445,0,0,2,4,4,6,24,19
21800450,0,1,4,4,9,13,39,31
21800450,1,0,2,4,13,9,31,39
21800451,0,1,2,4,3,7,23,25
21800451,1,0,3,3,7,3,25,23
21800453,1,1,3,4,1,5,25,27
21800454,1,1,2,4,5,5,21,23
21800454,0,0,3,3,5,5,23,21
21800458,0,1,2,3,5,6,23,25
21800458,1,0,3,4,6,5,25,23
21800459,0,0,3,4,6,4,11,24
21800460,0,1,3,3,5,4,22,25
21800460,1,0,3,4,4,5,25,22
21800462,1,1,1,3,6,6,33,25
21800462,0,0,3,4,6,6,25,33
21800464,1,1,2,4,3,5,24,23
21800464,0,0,3,4,5,3,23,24
21800467,1,1,2,4,7,10,19,23
21800467,0,0,4,4,10,7,23,19
21800468,1,1,1,3,5,14,36,39
21800468,0,0,3,3,14,5,39,36
21800471,0,1,2,3,10,11,26,30
21800471,1,0,2,4,11,10,30,26
21800472,0,1,3,3,8,7,18,27
21800472,1,0,1,4,7,8,27,18
21800474,1,1,2,4,5,6,17,17
21800474,0,0,3,4,6,5,17,17
21800477,1,1,1,4,5,8,37,25
21800477,0,0,3,3,8,5,25,37
21800478,1,1,3,4,7,6,18,16
21800478,0,0,3,4,6,7,16,18
21800482,1,1,2,4,8,8,22,29
21800482,0,0,2,3,8,8,29,22
21800483,1,1,2,4,4,5,24,32
21800483,0,0,1,4,5,4,32,24
21800484,1,1,2,4,8,3,26,29
21800484,0,0,4,4,3,8,29,26
21800485,0,1,3,4,4,6,25,14
21800485,1,0,3,3,6,4,14,25
21800486,0,1,3,3,9,9,29,19
21800486,1,0,2,4,9,9,19,29
21800492,1,1,1,3,3,12,36,21
21800492,0,0,4,4,12,3,21,36
21800493,0,1,3,3,10,6,32,28
21800493,1,0,4,4,6,10,28,32
21800494,1,1,2,4,8,3,26,33
21800494,0,0,3,4,3,8,33,26
21800496,0,1,2,3,5,3,24,35
21800496,1,0,2,3,3,5,35,24
21800498,1,1,1,3,7,5,27,21
21800498,0,0,4,4,5,7,21,27
21800504,0,1,3,3,9,5,33,34
21800504,1,0,2,4,5,9,34,33
21800506,0,1,3,3,6,4,25,25
21800506,1,0,2,4,4,6,25,25
21800509,1,1,1,3,5,7,32,25
21800509,0,0,3,4,7,5,25,32
21800511,1,1,3,4,6,8,25,33
21800511,0,0,1,3,8,6,33,25
21800514,1,1,3,4,5,5,33,21
21800514,0,0,3,4,5,5,21,33
21800520,0,1,2,4,9,5,20,27
21800520,1,0,2,3,5,9,27,20
21800523,1,1,4,4,5,5,29,23
21800523,0,0,3,4,5,5,23,29
21800524,1,1,2,2,7,7,24,24
21800524,0,0,2,4,7,7,24,24
21800528,0,1,4,4,8,6,28,31
21800528,1,0,1,2,6,8,31,28
21800529,1,1,4,4,8,7,27,34
21800529,0,0,4,4,7,8,34,27
21800530,1,1,3,4,7,9,36,34
21800530,0,0,3,3,9,7,34,36
21800531,0,1,2,2,7,8,16,33
21800531,1,0,2,4,8,7,33,16
21800533,0,1,4,4,9,7,40,32
21800533,1,0,2,3,7,9,32,40
21800536,1,1,3,4,7,4,24,24
21800536,0,0,4,4,4,7,24,24
21800538,1,1,2,4,5,8,27,24
21800538,0,0,2,2,8,5,24,27
21800539,1,1,4,4,9,8,21,30
21800539,0,0,2,4,8,9,30,21
21800541,1,1,2,3,4,6,29,18
21800541,0,0,2,4,6,4,18,29
21800546,1,1,2,4,7,9,35,25
21800546,0,0,3,3,9,7,25,35
21800549,1,1,2,4,6,12,27,31
21800549,0,0,4,4,12,6,31,27
21800551,1,1,2,3,5,5,33,24
21800551,0,0,3,3,5,5,24,33
21800553,0,1,3,3,8,11,25,18
21800553,1,0,3,4,11,8,18,25
21800557,1,1,2,4,9,8,21,34
21800557,0,0,3,3,8,9,34,21
21800564,0,1,2,4,6,5,29,33
21800564,1,0,2,3,5,6,33,29
21800568,1,1,1,4,3,7,20,23
21800568,0,0,4,4,7,3,23,20
21800574,0,1,3,3,12,4,20,33
21800574,1,0,1,2,4,12,33,20
21800575,0,1,3,4,3,10,22,18
21800575,1,0,2,4,10,3,18,22
21800577,0,1,3,3,6,5,27,34
21800577,1,0,3,4,5,6,34,27
21800583,0,1,3,3,7,4,20,31
21800583,1,0,1,2,4,7,31,20
21800590,0,1,3,3,6,5,32,34
21800590,1,0,3,4,5,6,34,32
21800596,0,1,4,4,6,9,17,21
21800596,1,0,2,4,9,6,21,17
21800599,0,1,3,3,7,6,36,31
21800599,1,0,3,4,6,7,31,36
21800601,0,1,3,4,5,4,23,27
21800601,1,0,2,3,4,5,27,23
21800602,1,1,2,4,5,2,24,24
21800602,0,0,4,4,2,5,24,24
21800603,0,1,3,3,6,7,24,23
21800603,1,0,3,4,7,6,23,24
21800604,1,1,4,4,8,4,29,25
21800604,0,0,3,4,4,8,25,29
21800610,0,1,3,3,7,7,26,24
21800610,1,0,2,4,7,7,24,26
21800621,0,1,3,4,5,8,33,34
21800621,1,0,3,3,8,5,34,33
21800622,1,1,1,4,4,3,28,24
21800622,0,0,2,4,3,4,24,28
21800626,0,1,4,4,3,4,37,34
21800626,1,0,3,3,4,3,34,37
21800630,0,1,4,4,4,7,24,19
21800630,1,0,2,4,7,4,19,24
21800631,1,1,1,4,5,9,21,25
21800631,0,0,2,2,9,5,25,21
