game_ID,win,home,timeouts_used,timeouts_available,fouls_committed,fouls_against,points_scored,points_allowed
21800632,1,1,1,3,9,4,33,26
21800632,0,0,4,4,4,9,26,33
21800633,1,1,2,3,4,5,23,17
21800633,0,0,3,4,5,4,17,23
21800636,1,1,2,4,8,3,22,21
21800636,0,0,2,4,3,8,21,22
21800638,0,1,3,3,8,6,23,25
21800638,1,0,3,4,6,8,25,23
21800641,1,1,1,4,8,4,30,21
21800641,0,0,3,4,4,8,21,30
21800642,0,1,2,2,5,7,26,27
21800642,1,0,4,4,7,5,27,26
21800643,1,1,3,4,6,7,23,25
21800643,0,0,3,3,7,6,25,23
21800644,0,1,4,4,11,10,30,26
21800644,1,0,3,4,10,11,26,30
21800648,1,1,3,4,7,10,25,20
21800648,0,0,4,4,10,7,20,25
21800649,1,1,3,4,8,8,32,32
21800649,0,0,2,4,8,8,32,32
21800650,0,1,3,3,7,7,29,27
21800650,1,0,3,4,7,7,27,29
21800661,0,1,3,3,5,4,21,30
21800661,1,0,1,3,4,5,30,21
21800663,1,1,1,3,5,7,37,31
21800663,0,0,3,3,7,5,31,37
21800665,1,1,3,3,2,5,24,11
21800665,0,0,3,3,5,2,11,24
21800668,1,1,2,4,8,8,34,31
21800668,0,0,2,3,8,8,31,34
21800672,1,1,3,4,4,6,33,24
21800672,0,0,3,4,6,4,24,33
21800673,1,0,3,4,4,7,31,20
21800674,0,1,4,4,8,8,23,28
21800674,1,0,1,4,8,8,28,23
21800678,1,0,4,4,9,7,29,36
21800680,0,1,3,4,5,5,19,29
21800680,1,0,3,3,5,5,29,19
21800683,0,1,2,3,6,7,16,30
21800683,1,0,1,4,7,6,30,16
21800689,1,1,2,3,7,6,25,36
21800689,0,0,3,3,6,7,36,25
21800694,1,1,2,4,8,7,24,22
21800694,0,0,2,2,7,8,22,24
21800698,1,1,2,4,7,5,20,31
21800698,0,0,1,2,5,7,31,20
21800704,1,1,2,4,4,5,28,25
21800704,0,0,4,4,5,4,25,28
21800706,1,1,3,4,5,9,26,31
21800706,0,0,4,4,9,5,31,26
21800708,1,1,4,4,5,7,25,24
21800708,0,0,2,3,7,5,24,25
21800710,0,1,3,3,7,9,32,26
21800710,1,0,3,4,9,7,26,32
21800711,1,1,2,3,2,5,26,24
21800711,0,0,3,3,5,2,24,26
21800714,0,1,4,4,5,5,24,19
21800714,1,0,1,4,5,5,19,24
21800715,1,1,1,4,7,11,26,28
21800715,0,0,4,4,11,7,28,26
21800717,1,1,1,4,3,5,24,34
21800717,0,0,3,3,5,3,34,24
21800720,0,1,1,2,4,3,22,20
21800720,1,0,3,4,3,4,20,22
21800722,0,1,3,3,7,8,24,20
21800722,1,0,2,4,8,7,20,24
21800723,0,1,2,2,7,5,19,26
21800723,1,0,3,4,5,7,26,19
21800725,0,1,3,3,8,7,25,22
21800725,1,0,2,3,7,8,22,25
21800726,1,1,3,4,7,7,18,16
21800726,0,0,1,3,7,7,16,18
21800727,1,1,3,4,3,4,32,12
21800727,0,0,3,4,4,3,12,32
21800729,1,1,1,4,4,5,16,33
21800729,0,0,4,4,5,4,33,16
21800732,0,1,3,4,9,4,27,25
21800732,1,0,2,4,4,9,25,27
21800735,0,1,4,4,4,3,22,25
21800735,1,0,2,3,3,4,25,22
21800737,1,1,2,4,3,5,29,16
21800737,0,0,3,4,5,3,16,29
21800738,1,1,2,3,6,10,29,33
21800738,0,0,2,3,10,6,33,29
21800739,0,1,4,4,9,5,32,38
21800739,1,0,1,4,5,9,38,32
21800741,0,1,3,3,6,6,27,25
21800741,1,0,2,4,6,6,25,27
21800747,0,1,4,4,7,7,15,35
21800747,1,0,2,2,7,7,35,15
21800748,0,1,3,4,7,10,35,29
21800748,1,0,2,3,10,7,29,35
21800752,1,1,2,4,7,11,39,38
21800752,0,0,3,4,11,7,38,39
21800754,1,1,3,4,2,6,30,33
21800754,0,0,2,2,6,2,33,30
21800761,0,1,3,3,5,6,24,19
21800761,1,0,2,4,6,5,19,24
21800764,1,1,2,4,8,6,30,19
21800764,0,0,3,4,6,8,19,30
21800765,1,1,0,4,4,8,38,27
21800765,0,0,4,4,8,4,27,38
21800767,1,1,2,4,5,9,32,25
21800767,0,0,3,3,9,5,25,32
21800768,0,1,1,2,7,4,18,18
21800768,1,0,2,4,4,7,18,18
21800770,1,1,3,4,7,8,30,19
21800770,0,0,3,3,8,7,19,30
21800783,0,1,4,4,2,2,18,18
21800783,1,0,3,4,2,2,18,18
21800784,0,1,2,3,6,5,24,32
21800784,1,0,1,3,5,6,32,24
21800785,1,1,3,4,4,7,29,29
21800785,0,0,3,3,7,4,29,29
21800788,1,1,2,4,11,10,35,36
21800788,0,0,3,4,10,11,36,35
21800791,0,1,1,1,4,7,40,38
21800791,1,0,2,4,7,4,38,40
21800793,0,1,3,3,7,10,33,26
21800793,1,0,4,4,10,7,26,33
21800796,0,1,4,4,5,5,23,33
21800796,1,0,2,3,5,5,33,23
21800797,0,1,2,3,3,5,17,18
21800797,1,0,0,4,5,3,18,17
21800801,1,1,2,3,1,7,23,23
21800801,0,0,4,4,7,1,23,23
21800802,1,1,2,4,10,11,34,30
21800802,0,0,3,3,11,10,30,34
21800803,0,1,2,3,9,4,29,24
21800803,1,0,2,4,4,9,24,29
21800804,1,1,4,4,9,8,27,43
21800804,0,0,2,2,8,9,43,27
21800807,1,1,1,4,3,6,25,22
21800807,0,0,3,3,6,3,22,25
21800814,0,1,3,4,5,7,35,30
21800814,1,0,3,3,7,5,30,35
21800818,1,1,2,4,4,8,34,28
21800818,0,0,3,3,8,4,28,34
21800823,1,1,4,4,5,6,32,29
21800823,0,0,3,3,6,5,29,32
21800824,1,1,1,4,2,9,27,13
21800824,0,0,4,4,9,2,13,27
21800828,0,1,4,4,8,7,30,30
21800828,1,0,1,4,7,8,30,30
21800832,0,1,3,4,10,6,22,27
21800832,1,0,3,4,6,10,27,22
21800834,1,1,1,2,9,5,24,9
21800834,0,0,1,4,5,9,9,24
21800838,1,1,3,4,7,8,30,36
21800838,0,0,4,4,8,7,36,30
21800839,1,1,2,4,5,4,18,25
21800839,0,0,3,3,4,5,25,18
21800842,1,1,2,4,7,4,35,33
21800842,0,0,2,3,4,7,33,35
21800848,1,1,3,4,7,7,17,18
21800848,0,0,3,3,7,7,18,17
21800849,0,1,3,4,8,8,35,35
21800849,1,0,4,4,8,8,35,35
21800850,0,1,1,3,3,1,21,14
21800850,1,0,3,4,1,3,14,21
21800852,1,1,0,4,4,8,34,24
21800852,0,0,3,4,8,4,24,34
21800854,0,1,3,4,9,3,18,30
21800854,1,0,2,4,3,9,30,18
21800860,1,1,3,3,7,6,27,27
21800860,0,0,3,4,6,7,27,27
21800861,1,1,1,4,2,3,34,27
21800861,0,0,3,4,3,2,27,34
21800866,1,1,1,3,4,8,30,33
21800866,0,0,3,4,8,4,33,30
21800868,1,1,2,4,3,9,33,27
21800868,0,0,3,3,9,3,27,33
21800870,1,1,2,3,2,5,26,29
21800870,0,0,3,4,5,2,29,26
21800871,1,1,1,3,9,9,36,32
21800871,0,0,4,4,9,9,32,36
21800872,1,1,1,3,5,13,28,16
21800872,0,0,3,4,13,5,16,28
21800875,0,1,3,3,4,6,27,21
21800875,1,0,3,3,6,4,21,27
21800876,1,1,4,4,5,6,32,26
21800876,0,0,3,3,6,5,26,32
21800877,0,1,3,4,6,5,27,25
21800877,1,0,3,3,5,6,25,27
21800879,0,1,4,4,10,5,20,29
21800879,1,0,3,4,5,10,29,20
21800883,1,1,3,4,10,16,34,25
21800883,0,0,3,4,16,10,25,34
21800884,0,1,3,3,5,4,31,27
21800884,1,0,3,4,4,5,27,31
21800885,1,1,1,3,7,7,30,23
21800885,0,0,4,4,7,7,23,30
21800890,0,1,2,4,10,7,33,25
21800890,1,0,2,3,7,10,25,33
21800901,0,1,4,4,6,5,34,40
21800901,1,0,2,2,5,6,40,34
21800903,1,1,1,3,4,4,24,26
21800903,0,0,2,4,4,4,26,24
21800904,1,1,4,4,6,11,23,24
21800904,0,0,2,2,11,6,24,23
21800905,1,1,3,4,9,6,19,25
21800905,0,0,1,2,6,9,25,19
21800906,0,1,3,3,6,5,27,18
21800906,1,0,3,4,5,6,18,27
21800908,1,1,2,3,4,8,30,13
21800908,0,0,3,4,8,4,13,30
21800911,0,1,1,4,6,3,19,28
21800911,1,0,3,4,3,6,28,19
21800915,1,1,4,4,7,5,26,33
21800915,0,0,3,4,5,7,33,26
21800916,0,1,4,4,8,7,33,34
21800916,1,0,2,4,7,8,34,33
21800918,1,1,1,4,7,8,31,23
21800918,0,0,3,4,8,7,23,31
21800919,1,1,1,4,8,7,28,22
21800919,0,0,3,3,7,8,22,28
21800921,1,1,2,4,5,7,30,28
21800921,0,0,4,4,7,5,28,30
21800922,1,1,2,4,4,9,31,25
21800922,0,0,4,4,9,4,25,31
21800923,1,1,2,4,1,6,33,16
21800923,0,0,4,4,6,1,16,33
21800924,0,1,4,4,13,7,21,40
21800924,1,0,3,4,7,13,40,21
21800925,1,1,1,3,4,7,35,20
21800925,0,0,3,4,7,4,20,35
21800926,0,1,3,3,7,8,34,30
21800926,1,0,3,4,8,7,30,34
21800927,0,1,3,4,5,8,24,24
21800927,1,0,4,4,8,5,24,24
21800930,1,1,2,4,9,8,26,33
21800930,0,0,3,4,8,9,33,26
21800933,0,1,2,3,5,6,27,29
21800933,1,0,3,4,6,5,29,27
21800936,0,1,4,4,5,4,25,34
21800936,1,0,1,2,4,5,34,25
21800938,0,1,3,4,9,6,27,27
21800938,1,0,2,3,6,9,27,27
21800941,0,1,2,3,4,8,19,24
21800941,1,0,2,4,8,4,24,19
21800942,1,1,3,4,7,8,23,31
21800942,0,0,3,4,8,7,31,23
21800943,1,1,3,4,5,6,42,33
21800943,0,0,2,2,6,5,33,42
21800946,0,1,3,4,7,5,27,27
21800946,1,0,3,4,5,7,27,27
21800951,1,1,1,2,8,9,32,20
21800951,0,0,4,4,9,8,20,32
21800953,1,1,3,4,8,7,29,28
21800953,0,0,1,4,7,8,28,29
21800954,1,1,1,4,3,5,19,34
21800954,0,0,3,3,5,3,34,19
21800955,1,1,4,4,9,11,38,23
21800955,0,0,3,4,11,9,23,38
21800956,0,1,4,4,6,8,24,33
21800956,1,0,3,3,8,6,33,24
21800959,1,1,2,4,7,6,28,21
21800959,0,0,4,4,6,7,21,28
21800960,1,1,3,4,3,6,20,24
21800960,0,0,4,4,6,3,24,20
21800962,1,1,1,3,6,9,38,25
21800962,0,0,3,4,9,6,25,38
21800967,1,1,3,4,5,6,33,27
21800967,0,0,2,2,6,5,27,33
21800968,0,1,2,4,3,8,27,31
21800968,1,0,1,4,8,3,31,27
21800970,1,1,3,4,9,7,26,21
21800970,0,0,4,4,7,9,21,26
21800973,0,1,2,4,7,8,32,29
21800973,1,0,4,4,8,7,29,32
21800977,1,1,3,4,4,3,30,28
21800977,0,0,4,4,3,4,28,30
21800980,0,1,3,3,7,6,24,43
21800980,1,0,1,3,6,7,43,24
21800985,1,1,3,4,4,12,30,26
21800985,0,0,2,3,12,4,26,30
21800986,0,1,1,1,6,6,26,22
21800986,1,0,1,4,6,6,22,26
21800987,0,1,2,4,13,9,35,31
21800987,1,0,3,4,9,13,31,35
21800996,1,1,2,4,11,11,30,25
21800996,0,0,2,3,11,11,25,30
21800997,0,1,2,3,4,1,21,13
21800997,1,0,1,4,1,4,13,21
21801000,0,1,3,4,8,5,31,36
21801000,1,0,3,4,5,8,36,31
21801002,1,1,2,4,7,8,31,34
21801002,0,0,2,2,8,7,34,31
21801008,1,1,2,3,4,7,25,22
21801008,0,0,3,4,7,4,22,25
21801011,0,1,3,3,6,11,31,28
21801011,1,0,4,4,11,6,28,31
21801015,1,1,2,4,2,3,24,16
21801015,0,0,3,3,3,2,16,24
21801018,0,1,3,4,5,7,26,21
21801018,1,0,3,3,7,5,21,26
21801020,1,1,3,4,4,4,27,18
21801020,0,0,2,3,4,4,18,27
21801025,1,1,1,3,3,5,21,10
21801025,0,0,2,3,5,3,10,21
21801027,1,1,1,3,7,3,24,25
21801027,0,0,2,4,3,7,25,24
21801028,0,1,2,3,2,6,32,21
21801028,1,0,3,4,6,2,21,32
21801030,1,1,1,4,6,7,25,17
21801030,0,0,4,4,7,6,17,25
21801035,1,1,2,4,6,10,30,25
21801035,0,0,2,3,10,6,25,30
21801039,1,1,2,3,3,10,36,27
21801039,0,0,3,4,10,3,27,36
21801040,1,1,3,4,12,7,23,25
21801040,0,0,4,4,7,12,25,23
21801042,1,1,3,3,8,4,30,27
21801042,0,0,3,4,4,8,27,30
21801043,0,1,4,4,8,10,43,41
21801043,1,0,4,4,10,8,41,43
21801044,1,1,2,3,5,8,32,23
21801044,0,0,3,4,8,5,23,32
21801046,1,1,2,4,5,9,26,23
21801046,0,0,1,4,9,5,23,26
21801049,1,1,4,4,6,5,32,29
21801049,0,0,2,3,5,6,29,32
21801050,1,1,1,3,5,8,39,31
21801050,0,0,3,4,8,5,31,39
21801054,0,1,3,4,5,4,32,30
21801054,1,0,0,2,4,5,30,32
21801055,1,1,0,3,4,5,29,27
21801055,0,0,3,4,5,4,27,29
21801058,1,1,3,4,9,7,18,26
21801058,0,0,3,4,7,9,26,18
21801059,0,1,4,4,7,8,25,33
21801059,1,0,3,4,8,7,33,25
21801063,0,1,4,4,8,7,18,45
21801063,1,0,2,2,7,8,45,18
21801064,1,1,3,4,8,7,26,34
21801064,0,0,4,4,7,8,34,26
21801065,1,1,3,4,5,5,26,21
21801065,0,0,4,4,5,5,21,26
21801067,1,1,1,3,4,5,33,25
21801067,0,0,4,4,5,4,25,33
21801071,0,1,2,2,3,5,27,20
21801071,1,0,3,4,5,3,20,27
21801075,0,1,3,3,6,6,23,28
21801075,1,0,2,4,6,6,28,23
21801076,1,1,3,3,5,8,31,23
21801076,0,0,4,4,8,5,23,31
21801081,0,1,3,3,8,2,25,18
21801081,1,0,4,4,2,8,18,25
21801083,0,1,4,4,8,6,29,33
21801083,1,0,1,3,6,8,33,29
21801084,1,1,2,4,4,8,30,24
21801084,0,0,1,4,8,4,24,30
21801086,0,1,2,2,8,7,33,33
21801086,1,0,3,4,7,8,33,33
21801087,1,1,2,4,2,9,35,19
21801087,0,0,3,3,9,2,19,35
21801088,1,1,2,4,8,6,29,27
21801089,0,1,2,3,8,6,29,35
21801089,1,0,3,4,6,8,35,29
21801093,1,1,1,4,3,5,28,20
21801093,0,0,3,4,5,3,20,28
21801094,1,1,3,4,5,6,33,28
21801094,0,0,3,3,6,5,28,33
21801098,0,1,1,3,4,6,31,20
21801098,1,0,4,4,6,4,20,31
21801102,1,1,2,3,6,10,24,29
21801102,0,0,3,3,10,6,29,24
21801109,0,1,4,4,9,7,29,28
21801109,1,0,1,4,7,9,28,29
21801114,0,1,3,4,8,7,32,38
21801114,1,0,2,4,7,8,38,32
21801115,1,1,2,3,5,7,14,30
21801115,0,0,4,4,7,5,30,14
21801119,1,1,1,3,4,6,31,30
21801119,0,0,3,3,6,4,30,31
21801120,0,1,3,3,10,5,31,35
21801120,1,0,3,4,5,10,35,31
21801124,1,1,0,3,6,6,30,17
21801124,0,0,4,4,6,6,17,30
21801128,1,1,3,4,5,4,28,30
21801128,0,0,1,4,4,5,30,28
21801129,1,1,2,4,4,5,32,29
21801129,0,0,3,3,5,4,29,32
21801130,1,1,3,3,2,6,25,21
21801130,0,0,4,4,6,2,21,25
21801134,1,1,3,4,9,10,36,34
21801134,0,0,2,2,10,9,34,36
21801140,0,1,3,4,7,6,24,31
21801140,1,0,2,4,6,7,31,24
21801143,0,1,2,4,8,6,28,26
21801143,1,0,2,4,6,8,26,28
21801144,0,1,1,1,10,4,23,32
21801144,1,0,1,4,4,10,32,23
21801146,0,1,4,4,8,6,28,26
21801146,1,0,2,3,6,8,26,28
21801148,0,1,4,4,6,8,18,20
21801148,1,0,3,4,8,6,20,18
21801149,0,1,3,4,5,4,19,24
21801149,1,0,2,4,4,5,24,19
21801152,1,1,4,4,8,9,24,22
21801152,0,0,4,4,9,8,22,24
21801153,1,1,1,4,3,4,22,28
21801153,0,0,3,3,4,3,28,22
21801154,0,1,3,3,6,4,32,40
21801154,1,0,2,3,4,6,40,32
21801162,1,1,2,4,3,4,31,21
21801162,0,0,3,4,4,3,21,31
21801167,0,1,4,4,5,5,27,32
21801167,1,0,3,4,5,5,32,27
21801168,1,1,1,2,10,9,32,28
21801168,0,0,2,3,9,10,28,32
21801170,0,1,4,4,7,3,21,29
21801170,1,0,1,4,3,7,29,21
21801171,0,1,4,4,8,5,31,32
21801171,1,0,2,4,5,8,32,31
21801172,0,1,3,3,3,7,29,21
21801172,1,0,2,4,7,3,21,29
21801177,0,1,4,4,9,3,36,46
21801177,1,0,1,4,3,9,46,36
21801180,1,1,4,4,3,5,23,25
21801180,0,0,4,4,5,3,25,23
21801185,1,1,1,4,5,5,21,18
21801185,0,0,3,4,5,5,18,21
21801190,1,1,1,3,4,6,35,23
21801190,0,0,4,4,6,4,23,35
21801191,1,1,1,4,4,4,21,30
21801191,0,0,3,4,4,4,30,21
21801192,0,1,2,4,3,9,31,38
21801192,1,0,1,2,9,3,38,31
21801193,0,1,2,3,6,7,32,25
21801193,1,0,2,4,7,6,25,32
21801197,0,1,3,4,9,8,29,37
21801197,1,0,1,3,8,9,37,29
21801203,0,1,2,3,7,7,30,33
21801203,1,0,1,4,7,7,33,30
21801204,1,1,2,2,1,6,34,21
21801204,0,0,4,4,6,1,21,34
21801206,1,1,2,4,5,8,29,27
21801206,0,0,4,4,8,5,27,29
21801207,0,1,2,2,5,5,27,31
21801207,1,0,3,4,5,5,31,27
21801208,1,1,2,3,8,7,32,26
21801208,0,0,3,4,7,8,26,32
21801210,1,1,3,4,5,8,36,14
21801210,0,0,3,4,8,5,14,36
21801211,0,1,3,4,7,2,15,27
21801211,1,0,2,4,2,7,27,15
21801218,1,1,3,4,6,4,32,18
21801218,0,0,3,4,4,6,18,32
21801219,0,1,1,3,6,6,27,31
21801219,1,0,2,4,6,6,31,27
21801220,1,1,4,4,3,5,31,26
21801220,0,0,4,4,5,3,26,31
21801228,1,1,2,4,3,8,26,16
21801228,0,0,4,4,8,3,16,26
21801230,1,1,3,4,4,3,38,18
21801230,0,0,3,4,3,4,18,38